title,url,description,job_levels,languages,assessment_length_minutes,remote_testing,adaptive_irt,test_type_codes,test_types,downloads
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Graduate Scenarios Narrative Report: A participant focused report that contains; - Graduate Scenarios profile - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Mid-Professional, Professional Individual Contributor, Manager, Graduate",,,True,False,B,Behavioral,"[{""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Graduate Scenarios Narrative Report Std v2.0 English International.pdf"", ""language"": ""English International""}]"
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Graduate Scenarios Narrative Report: A participant focused report that contains; - Graduate Scenarios profile - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Graduate, Manager, Mid-Professional, Professional Individual Contributor",,,True,False,B,Behavioral,"[{""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Graduate Scenarios Profile Std v2.0 English International.pdf"", ""language"": ""English International""}]"
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).","Mid-Professional, Professional Individual Contributor",English (USA),5,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Hibernate (New).pdf"", ""language"": ""English (USA)""}]"
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,"The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup.","Front Line Manager, Manager",English (USA),15,True,True,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/BB_Fact_Sheet_HIPAA_Security.pdf"", ""language"": ""English (USA)""}]"
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development.",,,,True,False,"C, P","Competency, Personality","[{""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report Std v2.0 English International.pdf"", ""language"": ""English International""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report Std v2.0 NA Spanish.pdf"", ""language"": ""Latin American Spanish""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report Std v2.0 English (US).pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report Std v2.0 Chinese Simplified.pdf"", ""language"": ""Chinese Simplified""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report Std v2.0 Dutch.pdf"", ""language"": ""Dutch""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report Std v2.0 French.pdf"", ""language"": ""French""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report Std v2.0 German.pdf"", ""language"": ""German""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report Std v2.0 Italian.pdf"", ""language"": ""Italian""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/HiPo Assessment Report - Sample Brazilian Portuguese.pdf"", ""language"": ""Portuguese (Brazil)""}]"
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success.",,,,True,False,"C, P","Competency, Personality","[{""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report 2.0 International English (2).pdf"", ""language"": ""English International""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report 2.0 Latin American Spanish.pdf"", ""language"": ""Latin American Spanish""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/HiPo Assessment Report 2.0 Sample English US.pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/HiPo Assessment Report 2.0 Sample Chinese Simplified.pdf"", ""language"": ""Chinese Simplified""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report 2.0 French.pdf"", ""language"": ""French""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report 2.0 German.pdf"", ""language"": ""German""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/High-Potential Assessment Report 2.0 Italian.pdf"", ""language"": ""Italian""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/HiPo Assessment Report 2.0 Sample Thai.pdf"", ""language"": ""Thai""}]"
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential.",,,,True,False,C,Competency,"[{""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Unlocking Potential Report 2.0 International English.pdf"", ""language"": ""English International""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Unlocking Potential Report 2.0 LA Spanish.pdf"", ""language"": ""Latin American Spanish""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Unlocking Potential Report 2.0 US English (1).pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Unlocking Potential Report 2.0 French.pdf"", ""language"": ""French""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Unlocking Potential Report 2.0 German.pdf"", ""language"": ""German""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Unlocking Potential Report 2.0 Italian (1).pdf"", ""language"": ""Italian""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Unlocking Potential Report 2.0 Thai.pdf"", ""language"": ""Thai""}]"
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.","Entry-Level, Front Line Manager, Supervisor",English (USA),7,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Housekeeping (New).pdf"", ""language"": ""English (USA)""}]"
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,"Mid-Professional, Professional Individual Contributor",English (USA),12,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/HTML_CSS (New).pdf"", ""language"": ""English (USA)""}]"
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,"Mid-Professional, Professional Individual Contributor",English (USA),11,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/HTML5 (New).pdf"", ""language"": ""English (USA)""}]"
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Human Resources (New).pdf"", ""language"": ""English (USA)""}]"
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.","Mid-Professional, Professional Individual Contributor",English (USA),15,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/IBM DataStage (New).pdf"", ""language"": ""English (USA)""}]"
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc.","Mid-Professional, Professional Individual Contributor",English (USA),13,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/IBM Sterling Order Management System (New).pdf"", ""language"": ""English (USA)""}]"
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),9,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Industrial Engineering (New).pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/SHL Industrial Engineering (New) Sample Report.pdf"", ""language"": ""English (USA)""}]"
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.","Mid-Professional, Professional Individual Contributor",English (USA),10,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Informatica (Architecture) (New).pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/SHL Informatica (Architecture) (New) Sample Report.pdf"", ""language"": ""English (USA)""}]"
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.","Mid-Professional, Professional Individual Contributor",English (USA),11,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Informatica (Developer) (New).pdf"", ""language"": ""English (USA)""}]"
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Instrumentation Engineering (New).pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/SHL Instrumentation Engineering (New) Sample Report.pdf"", ""language"": ""English (USA)""}]"
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),15,True,True,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/BB_Fact_Sheet_InterpersonalCommunications.pdf"", ""language"": ""English (USA)""}]"
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews.","Front Line Manager, Manager",English (USA),15,True,True,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/BB_Fact_Sheet_InterviewingandHiringConceptsUS.pdf"", ""language"": ""English (USA)""}]"
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,"Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.","Mid-Professional, Professional Individual Contributor",English (USA),7,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/iOS Development (New).pdf"", ""language"": ""English (USA)""}]"
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,"Multi-choice test that measures the knowledge of capacity management, change management and problem management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/ITIL (Information Technology Infrastructure Library) (New).pdf"", ""language"": ""English (USA)""}]"
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,"The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this test covers the following topics: Business Component Development, J2EE 1.4 Architecture, JAX 1.2, JDBC 3.0, Supporting API, Web Component Development, and Web Service Development.","Entry-Level, Mid-Professional, Professional Individual Contributor",English (USA),30,True,True,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/BB_Fact_Sheet_J2EE1.4 Fundamentals.pdf"", ""language"": ""English (USA)""}]"
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.","Mid-Professional, Professional Individual Contributor",English (USA),18,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Java 8 (New).pdf"", ""language"": ""English (USA)""}]"
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,"Mid-Professional, Professional Individual Contributor",English (USA),5,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Java Design Patterns (New).pdf"", ""language"": ""English (USA)""}]"
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,"Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring.","Mid-Professional, Professional Individual Contributor",English (USA),17,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Java Frameworks (New).pdf"", ""language"": ""English (USA)""}]"
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,"The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this test includes the following topics: Commonly-Used APIs, Component Technology, Database Access, JEE Application Architecture, JSP Extensions, Resource Management, Web Services, Webapp Control and View Technologies, and Webapp Technology.","Mid-Professional, Professional Individual Contributor",English (USA),30,True,True,K,Knowledge,[]
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class.","Mid-Professional, Professional Individual Contributor",English (USA),8,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Java Web Services (New).pdf"", ""language"": ""English (USA)""}]"
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,"Mid-Professional, Professional Individual Contributor",English (USA),9,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/JavaScript (New).pdf"", ""language"": ""English (USA)""}]"
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.","Mid-Professional, Professional Individual Contributor",English (USA),6,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Jenkins (New).pdf"", ""language"": ""English (USA)""}]"
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.","Mid-Professional, Professional Individual Contributor",English (USA),10,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Job Control Language (New).pdf"", ""language"": ""English (USA)""}]"
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,"Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.","Mid-Professional, Professional Individual Contributor",English (USA),10,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/jQuery (New).pdf"", ""language"": ""English (USA)""}]"
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.","Mid-Professional, Professional Individual Contributor",English (USA),6,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Kubernetes (New).pdf"", ""language"": ""English (USA)""}]"
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,"Mid-Professional, Professional Individual Contributor",English (USA),10,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Linux Administration (New).pdf"", ""language"": ""English (USA)""}]"
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.","Entry-Level, General Population, Graduate, Professional Individual Contributor",English (USA),15,True,False,K,Knowledge,"[{""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Linux Operating System US English.pdf"", ""language"": ""English (USA)""}, {""title"": ""Fact Sheet"", ""url"": ""https://service.shl.com/docs/Linux Operating System - Technical Manual Supplement.pdf"", ""language"": ""English (USA)""}]"
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles, C Programming, C++, Debugging Programs, Linux Programming Concepts, Platform Independence, Revision Control, RPC/CORBA, and X Programming.","Mid-Professional, Professional Individual Contributor",English (USA),25,True,True,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/BB_Fact_Sheet_LinuxProgrammingGeneral.pdf"", ""language"": ""English (USA)""}]"
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,"Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller, monitoring scenario and result analysis.","Mid-Professional, Professional Individual Contributor",English (USA),6,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/LoadRunner (New).pdf"", ""language"": ""English (USA)""}]"
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Management Scenarios Narrative Report: A participant focused report that contains; - Management Scenarios profile - Detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Table of scores for each of the 6 style scales; Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol. - Detailed narrative feedback report (with development tips) for each of the 6 style scales. Management Scenarios Candidate Report: A report to share with the candidate that contains: - Detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Table of scores for each of the 6 style scales; Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol. - Detailed narrative feedback report (with development tips) for each of the 6 style scales. Management Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Italian, English International, Korean, Arabic",,True,False,B,Behavioral,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Management Scenarios Fact Sheet.pdf"", ""language"": ""English International""}]"
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Management Scenarios Narrative Report: A participant focused report that contains; - Management Scenarios profile - Detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Table of scores for each of the 6 style scales; Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol. - Detailed narrative feedback report (with development tips) for each of the 6 style scales. Management Scenarios Candidate Report: A report to share with the candidate that contains: - Detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Table of scores for each of the 6 style scales; Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol. - Detailed narrative feedback report (with development tips) for each of the 6 style scales. Management Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",,,True,False,B,Behavioral,"[{""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenarios (2012) Candidate  Report English International.pdf"", ""language"": ""English International""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenarios (2012) Candidate  Report German.pdf"", ""language"": ""German""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenarios (2012) Candidate  Report Romanian.pdf"", ""language"": ""Romanian""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenarios (2012) Candidate  Report Russian.pdf"", ""language"": ""Russian""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenarios (2012) Candidate  Report Turkish.pdf"", ""language"": ""Turkish""}]"
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Management Scenarios Narrative Report: A participant focused report that contains; - Management Scenarios profile - Detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Table of scores for each of the 6 style scales; Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol. - Detailed narrative feedback report (with development tips) for each of the 6 style scales. Management Scenarios Candidate Report: A report to share with the candidate that contains: - Detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Table of scores for each of the 6 style scales; Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol. - Detailed narrative feedback report (with development tips) for each of the 6 style scales. Management Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",,,True,False,B,Behavioral,"[{""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenario - Report English International.pdf"", ""language"": ""English International""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenario - Report German.pdf"", ""language"": ""German""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenario - Report Italian.pdf"", ""language"": ""Italian""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenario - Report Romanian.pdf"", ""language"": ""Romanian""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenario - Report Russian.pdf"", ""language"": ""Russian""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Management Scenario - Report Turkish.pdf"", ""language"": ""Turkish""}]"
